,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect,auto_annotation,result
2535,سعيد تامرت,http://www.youtube.com/channel/UC2Am956xwAQOgkrJeSXMfMg,احذرو منها اصلها ياهودية,0,2020-10-21T16:27:01Z,p,,p,1.0
2536,Islam Islam,http://www.youtube.com/channel/UCCXIs_PcjzQTY__dbum-Zbw,اعطيني وجهك ندير بيه اكسيدو يرحم بابك,0,2020-10-21T16:26:36Z,p,,n,0.0
2537,سعيد تامرت,http://www.youtube.com/channel/UC2Am956xwAQOgkrJeSXMfMg,احذر منها اصلها يهودية,0,2020-10-21T16:25:39Z,p,,p,1.0
2538,سليمة سليمة,http://www.youtube.com/channel/UCgGo51XZFnXVpBq36Jc6T3Q,كي راكي تسبي في الشباب الجزايري نتي معلابلاك بوالو راكي غير تهدري بلا ما تخمي روحي وزيدي تعلمي تقراي وتعلمي تهدري باش تهدري علي الشباب الجزايري لفحل روحي خبي وجهك,0,2020-10-21T16:23:45Z,p,,p,1.0
2539,RAOUF ZOURGUI,http://www.youtube.com/channel/UCnUSSu6yW5BCjL7ofSrqY4w,منيا غير متربية,1,2020-10-21T16:22:01Z,p,,p,1.0
2540,rom ila,http://www.youtube.com/channel/UCSfWAg5ygWnZQ1Bb1EI635w,حيونات هيا انتي متحشميش روحي استري روحك خلاص وليتي مكروها نتاع الجزاير ين,0,2020-10-21T16:21:52Z,p,,p,1.0
2541,Kenzi Lakhdar,http://www.youtube.com/channel/UCkIIdhpwiA8-2OBB_Qwf3LQ,هادي كانت كليا ساروخ ايا حسبت روخا مروخة,0,2020-10-21T16:20:38Z,p,,n,0.0
2542,توفيق رحمون,http://www.youtube.com/channel/UCD4KXi22RwI3w_YNIVxdt9Q,نتيا تحبي تعطي هاذا مكان استرو رواحكم مانريڨوش ابنت لا,1,2020-10-21T16:19:02Z,p,,n,0.0
2543,Meriem Meryoum,http://www.youtube.com/channel/UCrnIKel7w6Gr3aoVOO4F1IQ,مونيا هنا تحبسي بيسك مكانش كيما شاب جزايري متربي يحشم يقادر من وجاي كي جي دير فيديو حنونتي اعرفي كيفاه تهدري,0,2020-10-21T16:09:38Z,n,,n,1.0
2544,Soso Soso,http://www.youtube.com/channel/UChxGpIBKgQSoXtWXlLxB2zA,هي قالتها على نيتها مقصدتش تسب الشعب كامل,0,2020-10-21T16:07:19Z,n,,n,1.0
2545,Faycel Kharchi,http://www.youtube.com/channel/UCna-4gjZCLt6xWGGjVVAZWQ,ياخي خماج شكون لي راهوا سامع بيك يا زيڨوا,0,2020-10-21T16:03:29Z,p,,p,1.0
2546,Mohamed Mouslim,http://www.youtube.com/channel/UC4hx039RLkXbd11bhiZrhlg,خرية انتي شكون يشوف فيك نتاجاتك راهم باولادهم ونزيدك حاجة ماكيش مليحة خلاص,0,2020-10-21T15:59:25Z,p,,p,1.0
2547,Badro Bro,http://www.youtube.com/channel/UCEQdyHLEPVkqc7KYaqCjC1g,عندي شوية زريعة بسباس اذا نزرعها في جبهتك امونية,0,2020-10-21T15:58:12Z,p,,p,1.0
2548,NAZIM FREE FIER,http://www.youtube.com/channel/UCeLpwuhbBpAnQstZ7HZXckA,روحي نحي الماكياج رواحي تقابلي,0,2020-10-21T15:58:09Z,p,,p,1.0
2549,Zaki Ayoub,http://www.youtube.com/channel/UCxIi03faTu_Jj7GQZ8KaLQw,انا مرا ونتي متشرفيش المراة المسلمة لاحياء ولادين لاملة تفوه,0,2020-10-21T15:53:02Z,p,,p,1.0
2550,Kerma Massuod,http://www.youtube.com/channel/UC67q2APMKf2-Qf0aNlQgLHg,نتي شكون يشوف فيك,0,2020-10-21T15:43:38Z,p,,p,1.0
2551,Arwwa76 Anfalle84,http://www.youtube.com/channel/UCM-rNq3EcRcTZrfRU6XLClw,مسكينة لزملها مستشفى الامراض العقلية مازال منزادش لسب جزايري ويطيح بيه ياوحدة الفايحة روحي ستري روحك ومبعد حكي على الاخلاق الرحمةياوحد العايقة لا دين لا حياء لاتربية,4,2020-10-21T15:40:52Z,p,,p,1.0
2552,Kamiliya jiza,http://www.youtube.com/channel/UCPkpIsl-2-qQyMeiYeHh70A,ربي يهدي الجميع,0,2020-10-21T15:40:19Z,n,,n,1.0
2553,Mohamd Sista,http://www.youtube.com/channel/UCh9odJ1m-HpEWuMbdy7umxw,اودي روحي ادي حكايتك وطيري فايحه نتنه بخصتي بروحك تفووه عليك,0,2020-10-21T15:40:09Z,p,,p,1.0
2554,Mayar Ga,http://www.youtube.com/channel/UCeDlLfeQiuAfq3HrutTpGPw,قبل ماتحكي على رجال تاع جزاير غسلي فمك مليح وتاني روحي غسلي وجهك وهزي هديك شعر لي مخبيا في جبينك بيه ياتافها شحال شحال عطاوك باش تهدري هكا يا طماعة شحال,1,2020-10-21T15:37:16Z,p,,p,1.0
2555,ديكورات منزلية حصرية,http://www.youtube.com/channel/UCshbUBJpOjawOgr1t92se9g,جبهتك دايرا كي العقبا لي عيت الشاب خالد,0,2020-10-21T15:35:04Z,p,,p,1.0
2556,Abddelghani Dilmi,http://www.youtube.com/channel/UC3hTIuC4X7baDMe6nx_Afdg,كيفاش عرفتي بلي راهم يشوفو فيك لوكان ماشفتيش فيهم نحير في وحدة كيما هاذي تولي مشهورة لكن المشكل في اعلام العار لي يشوه الصافيين يصفي الخامـ,0,2020-10-21T15:32:25Z,p,,n,0.0
2557,Farid Badis,http://www.youtube.com/channel/UC47AEK3IAePmbPijF3NnuTw,متستاهلش الرد اصلا,0,2020-10-21T15:21:34Z,p,,p,1.0
2558,Habiba Toumi,http://www.youtube.com/channel/UCZgVP-wf-kXPDqDSpcHlDSw,كلامها صح بدون منازع الصح متحبوهش,0,2020-10-21T15:19:00Z,n,,n,1.0
2559,noura Benfatta,http://www.youtube.com/channel/UCKgVkgf7ZFg1fgu6GhPlbPA,الله يصفر لك الوجه وانتي وش ذخلك,2,2020-10-21T15:18:01Z,p,,n,0.0
2560,oum younec,http://www.youtube.com/channel/UCllGtGUd3LcNDgJdMQOLZnw,ناس بكري ساترين رواحم وعندهم قيمة وشرف وشان وحاليا ما ستريش رواحم ولحمهم رخيس مايسوا والو كاين يبزق كاين لي يسخر منهم,0,2020-10-21T15:13:58Z,p,,p,1.0
2561,bydg ftu,http://www.youtube.com/channel/UCwA6HXn78PRUzQtWT9fBtcg,انا كنت بالحمل لابس روب عريضة كرشي خراجة قبل منولد بشوي برك والله ماخلاوني طرونكيل كاين لي صح حيوانات,0,2020-10-21T15:28:43Z,p,,p,1.0
2562,hafsosa bh,http://www.youtube.com/channel/UCLiw0RMGZdrYPujsohyWtKA,روحي ونتي جبهتك قد وجهك مشدة داية عمرك مابدلتيها وتربي غي نتي,0,2020-10-21T15:13:34Z,p,,p,1.0
2563,abdellah medjahdi,http://www.youtube.com/channel/UC39ctOBLhQeSQyqf1lAF8tQ,خلينا من القح,0,2020-10-21T15:06:54Z,p,,p,1.0
2564,Ben batna Riadh,http://www.youtube.com/channel/UC17cmyG6xUlygUfbO-cApow,هدرتك كامل بفلانة وفلانة وشافو معاها وانت واحد ماشاف فيك بيسك راس بصلة خير منك ياالجبهة يالجبهة حشى خليقة ربي,0,2020-10-21T14:58:01Z,p,,n,0.0
2565,Moh Dar,http://www.youtube.com/channel/UCPdAYkXdwuKCs1kGsJT298Q,لكان فطستلك راسك يماك نهار زدتي تهنات هناتنا من هاذ الفيقورة,0,2020-10-21T14:53:24Z,p,,n,0.0
2566,manal ghassil,http://www.youtube.com/channel/UCsZ8nhJN7cznWY-mJiRMMZw,3 3 3 3,0,2020-10-21T14:52:05Z,n,,n,1.0
2567,Sabrina Lamani,http://www.youtube.com/channel/UCsnK2N6ycBrmNfYPWuzgIzQ,مسكينة تبهدلي معندك حتى مستوى,0,2020-10-21T14:48:09Z,p,,n,0.0
2568,imene highclass,http://www.youtube.com/channel/UC0bVo4v-R0QOkSzhwT9Apsw,يا اشباه الرجال لوكان درتو ضجة هكا على السراقين لي سرقو نهبو لبلاد لوكان دزاير راهي خير من سويسرا بصح الله غالب جايحين تبعوا فجياحة الحق هي تعيي نتوما كتر منها درتولها لبوز,0,2020-10-21T14:47:29Z,p,,p,1.0
2569,Nabil Benyouness,http://www.youtube.com/channel/UCkw__1u0Xilv3H1GZY104ZQ,روحي لبلاد وحدة اخرى,0,2020-10-21T14:41:40Z,n,,p,0.0
2570,Jodi Jihad,http://www.youtube.com/channel/UC2QKmC4H0RajBZ7Qr8CwoNQ,عندك الحق يغيضو الحال غير الي هكا,0,2020-10-21T14:41:37Z,n,,n,1.0
2571,Razan Lina,http://www.youtube.com/channel/UCurWfL38iL9KC6LfHD7WnKg,والله ضحكتني بزاف ماعندها حتى علاقة,0,2020-10-21T14:40:06Z,n,,n,1.0
2572,salim-75 usmist,http://www.youtube.com/channel/UC6aByFqXqFer5YgVjLSY8yw,واعلاه تيا ماشي حيوان تيا كثر من الحياوان تعيرني نقبضك,0,2020-10-21T14:35:42Z,p,,p,1.0
2573,Houda Nour,http://www.youtube.com/channel/UCygwI0Dsq2C0X3BgnmbMS9Q,ببن قوسين عندها الحق على اشباه الرجال حاشا الرجال,0,2020-10-21T14:34:04Z,n,,n,1.0
2574,wis sam,http://www.youtube.com/channel/UCWZd3CLzxiAwHhhlzoyBCDQ,لي معجبوش كلامها حسها في جنابو لي تخلعني شيرات راهم يعايرو فيها مع انو راهي تهدر فواقع شاراه يصرا حتى لو كانت مش ساترة روحها هي حرة في نفسها تحسب غي هي لي مشي ساترة روحها فجزاير تاني ربي قال غضوا من ابصاركم معناها مهما لبست متقولش لا نشوف بسكو مسترش لا راجل متربي يغض من بصروا للمغريات مشي دايما الحق على المراة هي تستر انت تغض ولا مسترتش نتا تغض بصرك باش تدي اجر هذا مذكور فقران قل للمومنين يغضوا من ابصارهم,0,2020-10-21T14:33:34Z,n,,n,1.0
2575,Lovely Rose,http://www.youtube.com/channel/UCNTxnatW3c-LaH3UVOug2oQ,هاذو لي تهدري عليهم راه اولا باباك ولا نتي معندكش باباك وثانيا خوك وخالك عمك واصلا كون مكانش هاذو لي سبيتيهم مكيش فالبلاصة لي راكي فيها هوما لي طلعوك ولا نقولك تحرقتي وملقيتيش منين تصرفي ولا نساوك قلتي خلي نفكرهم بيا ناس كامل تعرف بلي الشعب الجزايري عندو النيف وراجل منقولش بلي مكانش فيات كيما هكذا بصح مهمش كامل ميروحش المسلم في جرة المجرم,1,2020-10-21T14:29:14Z,p,,n,0.0
2576,Slimen Bouzarwata,http://www.youtube.com/channel/UCRk6JuaG3lhesDAJepS_DXw,طلعي لاميش,1,2020-10-21T14:23:48Z,n,,n,1.0
2577,momoh amin,http://www.youtube.com/channel/UCTRyyuJU-tuFzHEBEsmlOtQ,ياشطورة اخرجي بلا ماكياج وشعرك ماتجبديهش وخرجي ولله كلب الهامل مايشوفش فيك ههن,0,2020-10-21T14:23:41Z,p,,p,1.0
13,أوباح اوباح,http://www.youtube.com/channel/UCoM7dIHzxqR_AKKTgBUX6GA,وقيلة معندكش تواليت داركم يا وحدل رخيسة هذه فيات هي من دمرت مجتمع,0,2020-10-21T13:31:30Z,p,,p,
18,Merieme Djaffar,http://www.youtube.com/channel/UCjU73gbRn25M_qkL2CqV3Qw,روحي شوفي روحک قبل خلیتي رغیس یبوسک فالبیرو کون اوموا کي قریتي السیناریو کون قلتیلهم انا مرا مسلمة کیما راکي تقولي نتي منقدرش نجوز لقطة کیما هاذي مشي تجي تهیني الشعب صاح لازم یغضو البصر تاعهم ربي امرهم مي المرا تاني امرها ربي بالحجاب تستر روحها وما دیرش کیلو تاع مکیاج نتي اصلا راکي تتزیني لرجال وحق ربي ما مرا نتي ربي یهدیک شوفي روحک قبل ماتشوفي الناس رخصتي روحک الناس اع هدرو علیک نتاقدوک من کل جیه نتي تحبي کي یهدرو علیک بلافاصون لی هدرتي بیها علی اللبسة تاعک والماکیاج تاعک باینة ماتقبلیش لوکان نصحتي وهدرتي غیر بالعقل وبلا العبارات هاذوک تاع الریو حیوانات معلیش مي نتي تقولي منعرف معامن راکي تهدري ربي یهدیک ویهدینا,0,2020-10-21T13:27:16Z,p,,p,
30,Madjid Bousbaa,http://www.youtube.com/channel/UCAsxQ2W2D-G-Jn-zjli-dzw,قالك قط جيعان طاح في شحمة فايحة ونتي هي الشحمة لفايحة ما القط طالب ياكل برك والحديث قياس تافهة,1,2020-10-21T13:13:17Z,p,,p,
33,Kadi Ysref,http://www.youtube.com/channel/UCo2zO5YTOU-uMwbytavzKAA,روحي شوفي روحك في مرايا قبل,0,2020-10-21T13:12:36Z,p,,p,
40,ام انس عبد الرازق,http://www.youtube.com/channel/UCMFlvPWOTb-c1QD6CmF-knA,ستري روحك وهدري يا معتوهة وين راه الحجاب الا راكي مسلمة حقا,0,2020-10-21T12:57:17Z,p,,p,
41,Chafika Guennaz,http://www.youtube.com/channel/UCM6g36sKA-wJV5I5fqWMRKw,مونيا فلك واحد روحي دوري حجاب وستحي على عرضك يا وحدل,0,2020-10-21T12:51:53Z,p,,p,
47,REDHOUANE REDHOUANE,http://www.youtube.com/channel/UC_ePq-rIvVKGzL_MpfNgueQ,لقد شتمت كل الرجال انا اقول لك بين هولاء الرجال الذين شتمتينهم رجال يصهرون على امنك امن الجزاير لولاهم يا لالة مونيا لاصبحت قطعة لحم يسيل عليها اللعاب كما تقولين بين الحيوانات في الجبال اهدري ذرك على روحك راكي في لتساع في وقت الارهاب هربتوا قاع الى جدتكم فرنسا الله يلعن الراسة انتاعكم,0,2020-10-21T12:38:45Z,p,,p,
52,Aziz CHTV,http://www.youtube.com/channel/UCVduQAhtKvtfsuou-GUeFbA,شوفي مونيا نتي راكي تغيري من هاديك الطفلة على خاطرش هي شابة عليك زينة عليك بسح عندك دليل بلي كان يسيل الريوغ بالاك راجلك ولا صاحبك كي يشوف واحدة يسيلو ريوغ يملا ريحي عاقلة او بلعي فمك على خاطرش نتي مراكيش فنانة,0,2020-10-21T12:26:26Z,p,,p,
61,akram chi chitoo,http://www.youtube.com/channel/UCYiD3pw0AcJ5IPc2HA1sXYQ,خر ياو فاقو,0,2020-10-21T12:09:53Z,p,,p,
63,Bachir,http://www.youtube.com/channel/UClFpjc4j66WyxuSbWOXI72A,شوف داك لون ديك الهدر تفو عليها كمار,1,2020-10-21T12:03:58Z,p,,p,
68,ماريا ماريا,http://www.youtube.com/channel/UCQsQcsJKZ9joPvPPQ-KqKfQ,ياختي كان مريضة روحي دواي والله تقضيهم وداوك بلاش بلا متخلاصي والوو,0,2020-10-21T11:49:15Z,p,,p,
71,naili naili,http://www.youtube.com/channel/UCYdb-tppaPjqjwH2OKZo2YQ,هزي كابتك واخرجي من دزاير روحي للطوغو تلقاي الرجال لي يليقو بيك,0,2020-10-21T11:44:26Z,p,,p,
72,هيبة الرحمان,http://www.youtube.com/channel/UCkdbgpyg6_p-khO8LQv_T3w,اودي روحي تحيا الجزايريين الجزايريات,0,2020-10-21T11:41:16Z,p,,p,
73,FATEH DZ,http://www.youtube.com/channel/UCr9lAlK4HkvDaujnBWEp9NQ,حسب ما سمعت هذا الفيديو فانها قالت الحقيقة التي لم تعجب البعض لكن للعلم هذه قضية للالهاء مصنوعة في مخابرات عبلة فيقو يا بشر انا اساندها فيما قالت لانه شعب رخيس شمايت حشا البعض,0,2020-10-21T11:37:06Z,p,,p,
74,Abdelbasset Korichi,http://www.youtube.com/channel/UC0WLbraELT9JRvSJ7uxxkMQ,الفيس فيكمم انتم اللي تريو في رواحكم روحي الله يجيبلك سلطان,0,2020-10-21T11:36:10Z,p,,p,
86,flour,http://www.youtube.com/channel/UCN6aUkSM2Fv-KIp5TirzQYA,والله غير انت هي لي متحشميش تهدرهك,0,2020-10-21T10:39:25Z,p,,p,
92,Minou Amine,http://www.youtube.com/channel/UCK8lMfKE_30yy8u3pP_JATg,مزال مفهمتي علاه لازم تغطي قطعة اللحم وهذا لي تتزوجي بيه حيوان تان معلابالكش كيفاه يخزر كان عليها ان تقرا على نظرة الرجل بالنسبة للمراة التي لا تستر نفسها في الشارع وتتمايل تتملق في كلام تلبس الكعب العالي انا شخصيا ندعيلهم بالهداية لانهم دايرين فتن فسدو رجال على نساهم يخرج برا يشوفو الشعر المسرح والمصبوغ اللباس المكسوف بانواعه يدخلو للدار يلقاو منهم بجبة مطاشية بجافيل شعر مكشرد لان ولادها مخلاولهاش وقت نهار كامل تجري متلحقش وهنا تكون الصدمة حتى لو لبست مرة على مرة متقدرش تكون بنفس مستوى هذيك الموخدة لي برى لذلك ننصح شاباتنا بالحجاب والعفة وشبابنا بغض البصر والعفة,0,2020-10-21T10:11:05Z,p,,p,
98,Ranya Hami,http://www.youtube.com/channel/UCPcu9aSR_GDmfFxrSACQPrA,قولي حسبتك راكي تهدري بترامك تفو روحي شوفي روحك منبعد هدري على الزعامة ولاد الجزاير يا وحد البايرة,0,2020-10-21T09:33:13Z,p,,p,
101,Boussena Nora,http://www.youtube.com/channel/UC0euoc85jwKbUTFQtYHEzpA,انت مرضة كاش ما صرالك في حياتك اعلا هدا تهدري هكدا علمن تتكلمي على شباب الجزاير هدةك سيادك يا مريض روحي عند بسكولةك داوي اش كاين الحزاير واش لامة,0,2020-10-21T09:15:24Z,p,,p,
104,Omm zaki Mouhamed,http://www.youtube.com/channel/UCyyPi-PIgBw26GiZio-CXeQ,روحي يصفرلك الوجه,0,2020-10-21T08:50:43Z,p,,p,
110,kasm Henni,http://www.youtube.com/channel/UCOAjTESIN0imHvzfYAY7H0A,روحي ديري حجاب وخمار,0,2020-10-21T08:04:06Z,p,,p,
111,MR13 Mj Ryan,http://www.youtube.com/channel/UC-qM3XrqtHNbt18XEmea9Og,يا طاطة يا طاطة الخلاطة الشباب لي راكي تسبيهم تستافزيهم منهم لي راهم يخدم في الجيش منهم لي راو يخدملك تاكسي لي راكي تفوخي بيه منهم لي راو يعس في الحدود تاع بلادنا ليل ونهار ومنهم لي راو شرفوا بينا في الكاس تاع افريقيا ومنهم لي راو يخدم الارض ومنهم لي يبتاكر هذو جزايريين لي راكي تتمسخري بيهم نهار كي ينحيولك الماكياج تباني كي الراجل لي يتطايش برا مسكين نتيا رخيسة علابيها راكي تشوفي فالشباب رخاس راني فاهم لازم نوقفوها عند حدها راهي تستافز بينا بزاف المخلوقة هاذي و السلام عليكم رحمة الله تعالى براكاته و تحيا ولاد بلادي وبنات بلادي,1,2020-10-21T07:43:59Z,p,,p,
115,Mega You,http://www.youtube.com/channel/UCnfdj_KeK3CxGrUEQ3CdtkA,تفوه بهدلتن,1,2020-10-21T07:05:37Z,p,,p,
123,Ours Polaire,http://www.youtube.com/channel/UCNxbOuxTEUp7eADLo7ajPpQ,واش راه يقول جعفر ياينه صاحبها الجزايري خطب ولا تزوج راهي مقهوره وخلطت كامل سيادك الجزايريين يا الجايحه تفو عليك تعيفي,0,2020-10-21T06:41:22Z,p,,p,
135,mascara 29,http://www.youtube.com/channel/UCqoUDoX_sy54Ebc19wv2o_g,خرية ضاربة فيها الشمس,0,2020-10-21T03:47:32Z,p,,p,
140,bèutŷ gïrl,http://www.youtube.com/channel/UCJhhADG8dH00-jh1o_HKSzA,مونية ربي يشافيك ان شاء الله روحي اجري على روحك وزيد دايرة صليب في عنقك نتيا جزايرية نتيا وتهدري على متحجبات شوفي روحك فلمرايا ومبعد حلي فمك على متحجبات حمد الله يا ربي زعما نتيا تصلي شكيت قبلة متعرفيهاش منين جاية وجاية تهدري على رجال لي منهم باباك وخوك وراجلك ايلا لقيتي لي يدي وحدة كيفك وبالاك رايح يكون وليدك ربي يهديك راكي كبيرة طفلة صغيرة تحشم على قدرها ماشي كي حالتك تشفي والله لابوبال,4,2020-10-21T02:39:15Z,p,,p,
144,KHIER AMEL,http://www.youtube.com/channel/UCLux_LxF0TlaG4oaXQgVSxQ,اسمعي يا فيحا انت اتصبي سيداك انت اتسبي بابا وا خويا وا خلي وا عمي وا وليد حومتي الرجال الجزايريين رجال يا الفيحا هدوك اسيداك يا واجه الشر انا ما شقتش الرجال كيما راكي اتقولي اشفو في المراة روحي اهدري على هدوك النساء لي راهم لبسين لباس مخل للحياء كيما انت واحد ما يشوف فيكوم والله العضيم الرجال الجزايريون ما تلقاي كيما هما افحولا وا عندهم النف وا رجال يا فيحا انت جمعتي الرجال كمل باباك راحو امعهم عنداك عقدة نفسية من الرجال واللغة الجزايرية روحي شوفي طبيب نفساني,0,2020-10-21T01:27:33Z,p,,p,
153,Draifi Djamel,http://www.youtube.com/channel/UCmxiaWEBYGF8J5eMjc7LD0Q,يا ناس خممو شويا راكم اطيحو في المستوى كي راكم اترجع لها انا واحد من الناس اقسم با ربي السماوات مانعرفهاش اصلا هاذي خطة تاع الدولة باه التي الشعب راهم داروها ديجا مع نعيمة صوالحي او دوك جاو الهاذي هاذو فوران التاجرب كل مايحبو اتلفو الشعب اجيبو حمار اضحو بيه كي افوتو الانتخابات تطلب السماح او هوما يلحقو للهدف التاعهم او تعاود تسرق الشمس كي لبارح كيليوم نتاسف علي زينها مسكينة معبدلبلهاش وجها ماعندوش فرق كبير بينها او بين الحمار حشا الملايكة التاعها على خاطر لوكان مكاش حلابين الزك في بلادنا او عباد النساء والله ماتلحق تهدر هاذ الكلام للاسف الشديد والسلام,0,2020-10-21T01:21:16Z,p,,p,
154,H. Lidya,http://www.youtube.com/channel/UCuJ3zQr7WCpxflCkRlPzWRQ,شو هالخرا يلعن اليوم اللي قريت فيه اعلام من الاخر راح نبدل مهنة بهدلتينا بكلامك الفاحش علابالك كاين المليح الدوني المراة معروفة بعفتها سو شدي فمك الا روحي ديري مهنة جديدة اللي اسمها التكوليف قرفتيلنا حياتنا,0,2020-10-21T01:15:03Z,p,,p,
155,أيوب شابي,http://www.youtube.com/channel/UCggdlnb2RipkL5Flcf-NRNA,يا مونية رجال لركي تسبي فيهم هما جابو استقلال الجزاير واضحة فلخر تجي من بعيد تسبيهم روحي نحي كيلو تاع المكياج حن مناش حيوانات رجال تاع صح في وقت الشدة تبان رجال لركي تهدري فيهم جابو كاس افريقيا بنات الجزاير ميهدروش هكذا يعيش على حلو مر,0,2020-10-21T01:14:13Z,p,,p,
158,Fateh Djillali,http://www.youtube.com/channel/UCfrv-mrqwMls0mMUCf7N1gQ,ممكن يكون يشوف فيها نظرة تعجب باسكو لابسا بدون هدوم نتوما الي فستدو الشباب يا وسمك نورمالمو تروحي تبيعي شمة نتي طايحتنا بطاطة خشينة بف,0,2020-10-21T00:52:21Z,p,,p,
163,Ghaith Baaz,http://www.youtube.com/channel/UCVgB3c0xMiAgHZ-ZgyTUeqA,كون تغسلي وجهك بصابون وطلعي شعرك جبهتك نكتب فيها سورة البقرة ونخلف السطر,0,2020-10-21T00:27:09Z,p,,p,
178,Csc Ess,http://www.youtube.com/channel/UChEvh27amQNQQ4T7gA4P-bA,روحي تعطي,0,2020-10-20T23:28:27Z,p,,p,
185,Boukhanouf Omar,http://www.youtube.com/channel/UCP3beMvrWylhNvXNbOc4xDA,لمرة لجاية متغطيش جبهتك بشعرك اجبهة سلوڨي,0,2020-10-20T23:10:29Z,p,,p,
198,Nassim Mama,http://www.youtube.com/channel/UCz0UvwoH5-kfWfRSUWKbCng,يا واحد الفايحة روحي اغسلي فمك الناجس قبل ما تتكلمي على سيادك,0,2020-10-20T22:43:31Z,p,,p,
202,Takoi Mebarki,http://www.youtube.com/channel/UCyVY6jpOEy_KEiBYovrx06Q,روحي احكي هادي الهدرة لروحك ماقلنالكش انصحينا,0,2020-10-20T22:28:47Z,p,,p,
205,Oum Ninou,http://www.youtube.com/channel/UCrkwwevlVnP-gYOoja1nmeg,فلحقيقة ضحكتيني كي قلتي كنت انا اميرة الغاشي كامل يخزر فينا بلاك خلعتيهوم لخطرش شافو حيوان جديد يدور فدزاير لخطرش الفاشة انتاعك بلماكياج او تخلع خلي بلا ماكياج نقولك تحبلك باش تسبي السبوعة انتع بلادك سيادك الي نتي تعرفي الرجلة النيف انتاعهوم يا وحد الجيعانة روحي ربي روحك امبعد ارواحي انبحي او ريقي علينا,0,2020-10-20T22:11:31Z,p,,p,
207,Palim Dz,http://www.youtube.com/channel/UCAMjgoRk8LmwCzP-bBgDAvw,روحي استري روحك ياوحد المسخة لوكان جيتي سترة روحك وحد مايتبلااك نطلب من السلطات الجزاىرية طبق عليها القنانون تسب فينا هادي لمسخة هادي سبت 40 مليون جزاىري,0,2020-10-20T22:07:26Z,p,,p,
208,djamblouze morad,http://www.youtube.com/channel/UCaaEU6j3iNnXKvFvW2UUVIA,بلع يا عيشة راجل,0,2020-10-20T22:07:01Z,p,,p,
211,Mohamed Az,http://www.youtube.com/channel/UCTjXLywRx2Xn7LzClcm6NPA,الانترنيت رجعت العالم قرية صغيرة ورجعت مونيا خرية كبيرة الله غالب نضحكو علي وجهك يا جغانة بصح يضهرلي رنا نسنا فيديو فيه اوو مايڨود يايما,0,2020-10-20T22:04:01Z,p,,p,
224,Yayou Yayou,http://www.youtube.com/channel/UC4zFX--7E-2GTWZu8VkXA_A,دوكا كامل وليتو دافعو على المستورة جاتكم هادي فاجرة انتوما منافقين كي جي واحدة كما هي باش تفري شغل فاي مكان تسبقو بيها تفرولها شغل تم تم اما اذا كانت متحجبة وبلا مكياج تحقروها بالعين,0,2020-10-20T21:32:17Z,p,,p,
226,Je t'aime l'Algérie,http://www.youtube.com/channel/UCtgj9qqAQFWzdGvR1n77-zg,حشا خلق ربي كي دايرة,0,2020-10-20T21:28:42Z,p,,p,
228,nadjia boukezzoula,http://www.youtube.com/channel/UCwPDgSn7eG1wNXJBmR7udzA,متحشميش حتى الهدرة متعرفيش تهدريفي فرنسة اقولو دال معناها والو معندك والو اتعلمي تعبري انتيا خصك تربية,0,2020-10-20T21:27:36Z,p,,p,
230,انوثة طاغية,http://www.youtube.com/channel/UCurEdpcwjoKryqa8klgwu4Q,يخي حالة تفو عليك زعما انتي فنانة انتي فنانة تفو عليك,1,2020-10-20T21:26:11Z,p,,p,
241,Lotfi Chacha,http://www.youtube.com/channel/UCQdss6BIgz2cjnHYyfeRFYw,تفوه او خسرا فيك,0,2020-10-20T21:15:09Z,p,,p,
242,ثقف نفسك,http://www.youtube.com/channel/UCZTmsOr6E7-1d9eHSyJP97A,جمهورية بغلة يونايتد جزاير رجلة,0,2020-10-20T21:10:18Z,p,,p,
249,Ayoub Csc,http://www.youtube.com/channel/UCjVQu6PIdLe7_UeyH1eKWjQ,روحي نحي المكياج لي فيوجهك علابلك اكي تشبهي الفرعون ربي يهدي ماخلق,1,2020-10-20T21:02:00Z,p,,p,
252,aras Azzdine,http://www.youtube.com/channel/UCrTERL31YAqlUO0Y_kL-kVg,روحي لاباج نغسلك وجهك,0,2020-10-20T20:57:26Z,p,,p,
256,khalil bng,http://www.youtube.com/channel/UCXtTfFFK3k0r98YnfsPG2RA,روحي ديري خمار,0,2020-10-20T20:53:10Z,p,,p,
261,Roza Roza,http://www.youtube.com/channel/UCfhvqFl-jq6COf4GVrxVuDw,البايرة,0,2020-10-20T20:44:13Z,p,,p,
262,fifi yanis,http://www.youtube.com/channel/UCa5exTcLuaiHcynBxtKsaKQ,عندها الصح والله بردتلي على قلبي كاين رجال اغلبيتهم كي الكلاب كل مايشوفو مراة يريقو عليها بالرغم عندهم فحلات في دار تفو عليهم,0,2020-10-20T20:44:02Z,p,,p,
